Year,Month,Region,Average Temperature
2000,01,Northeast Climate Region,21.4
2000,02,Northeast Climate Region,27.2
2000,03,Northeast Climate Region,39.1
2000,04,Northeast Climate Region,44.2
2000,05,Northeast Climate Region,56.6
2000,06,Northeast Climate Region,64.5
2000,07,Northeast Climate Region,65.8
2000,08,Northeast Climate Region,66.2
2000,09,Northeast Climate Region,58.9
2000,10,Northeast Climate Region,49.5
2000,11,Northeast Climate Region,37.7
2000,12,Northeast Climate Region,21.3
2001,01,Northeast Climate Region,22.6
2001,02,Northeast Climate Region,26.0
2001,03,Northeast Climate Region,30.2
2001,04,Northeast Climate Region,45.2
2001,05,Northeast Climate Region,57.4
2001,06,Northeast Climate Region,65.9
2001,07,Northeast Climate Region,66.7
2001,08,Northeast Climate Region,70.5
2001,09,Northeast Climate Region,60.1
2001,10,Northeast Climate Region,50.6
2001,11,Northeast Climate Region,43.2
2001,12,Northeast Climate Region,34.2
2002,01,Northeast Climate Region,29.6
2002,02,Northeast Climate Region,29.7
2002,03,Northeast Climate Region,34.6
2002,04,Northeast Climate Region,47.0
2002,05,Northeast Climate Region,53.0
2002,06,Northeast Climate Region,64.6
2002,07,Northeast Climate Region,70.5
2002,08,Northeast Climate Region,70.2
2002,09,Northeast Climate Region,63.4
2002,10,Northeast Climate Region,47.2
2002,11,Northeast Climate Region,36.7
2002,12,Northeast Climate Region,26.0
2003,01,Northeast Climate Region,16.6
2003,02,Northeast Climate Region,20.0
2003,03,Northeast Climate Region,32.9
2003,04,Northeast Climate Region,42.9
2003,05,Northeast Climate Region,54.0
2003,06,Northeast Climate Region,63.5
2003,07,Northeast Climate Region,69.0
2003,08,Northeast Climate Region,69.8
2003,09,Northeast Climate Region,61.2
2003,10,Northeast Climate Region,47.4
2003,11,Northeast Climate Region,41.6
2003,12,Northeast Climate Region,28.4
2004,01,Northeast Climate Region,15.0
2004,02,Northeast Climate Region,24.0
2004,03,Northeast Climate Region,35.9
2004,04,Northeast Climate Region,45.4
2004,05,Northeast Climate Region,59.3
2004,06,Northeast Climate Region,62.7
2004,07,Northeast Climate Region,68.1
2004,08,Northeast Climate Region,67.1
2004,09,Northeast Climate Region,61.9
2004,10,Northeast Climate Region,49.0
2004,11,Northeast Climate Region,39.7
2004,12,Northeast Climate Region,27.2
2005,01,Northeast Climate Region,20.9
2005,02,Northeast Climate Region,26.2
2005,03,Northeast Climate Region,29.7
2005,04,Northeast Climate Region,46.8
2005,05,Northeast Climate Region,51.6
2005,06,Northeast Climate Region,68.2
