Date,Region,Type,Price,Volume
2015-01,Boise,conventional,1.075,66.58238500000002
2016-06,Sacramento,conventional,1.1925,498.7626175
2016-10,Indianapolis,organic,1.7080000000000002,3.4031600000000006
2017-03,Indianapolis,organic,1.1975,6.276205
2017-09,StLouis,organic,2.6750000000000003,4.368665
2017-06,Tampa,organic,2.0025,5.7081325
2017-12,Boise,organic,1.6960000000000002,2.182036
2017-04,Columbus,conventional,1.1460000000000001,202.020636
2017-07,Detroit,conventional,1.246,377.67193000000003
2016-05,Portland,organic,1.2980000000000003,41.041426
2017-10,NewYork,organic,2.0759999999999996,68.23718799999999
2016-07,Indianapolis,organic,1.44,4.309658000000001
2015-11,Detroit,conventional,1.074,286.456406
2016-10,SouthCarolina,conventional,1.35,266.689424
2017-08,SouthCentral,conventional,1.0775000000000001,5664.333455
2015-03,NewOrleansMobile,conventional,1.02,245.28095199999998
2016-10,NewYork,organic,2.278,22.747494
2016-06,StLouis,conventional,0.9175,256.70015750000005
2016-06,Boise,conventional,0.6725,105.41292
2016-02,LosAngeles,organic,1.0475,97.6299325
2015-11,Northeast,organic,1.634,52.022012
2017-07,MiamiFtLauderdale,organic,1.582,5.141956
2016-05,LasVegas,organic,1.35,19.141128000000005
2017-04,NewYork,conventional,1.754,1239.5299679999998
2015-07,SanFrancisco,conventional,1.5150000000000001,673.5504599999999
2015-06,GreatLakes,organic,1.585,76.77526500000002
2016-08,SouthCarolina,organic,1.5350000000000001,13.6074875
2016-10,GrandRapids,conventional,1.598,112.866054
2016-01,Roanoke,organic,1.354,5.269214
2016-02,Tampa,conventional,0.8575,510.9431775
2016-12,Boston,organic,1.9649999999999999,12.7462725
2018-02,RichmondNorfolk,conventional,1.045,319.17765499999996
2016-07,Louisville,conventional,1.142,96.83753599999999
2015-03,Spokane,organic,1.5619999999999998,4.834652
2016-02,GreatLakes,organic,1.4025,98.776485
2016-09,LasVegas,organic,2.2925,6.8820325
2015-01,Seattle,organic,1.525,38.61347500000001
2017-05,NewOrleansMobile,organic,1.8775,2.4174750000000005
2015-05,NewOrleansMobile,organic,1.568,1.808592
2016-11,WestTexNewMexico,conventional,0.935,669.6717950000001
2015-04,SouthCarolina,conventional,1.0825,327.71852
2016-04,West,organic,1.145,377.8582675
2015-06,RaleighGreensboro,conventional,1.1475,266.737565
2015-06,Columbus,conventional,0.9924999999999999,170.867315
2015-03,Orlando,conventional,1.154,268.38968600000004
2015-12,California,conventional,0.8725,5192.7483125
2015-05,Northeast,organic,1.9140000000000001,66.525212
2016-05,Spokane,organic,1.484,3.4961979999999993
2016-03,RaleighGreensboro,organic,1.545,5.056065
2016-03,HartfordSpringfield,conventional,1.2625000000000002,323.71819
2015-06,BuffaloRochester,conventional,1.395,131.54674
2016-06,BuffaloRochester,conventional,1.1975,171.619855
2015-09,Tampa,organic,1.4225,1.4276625
2017-03,Pittsburgh,conventional,1.2600000000000002,127.7890325
2016-03,PhoenixTucson,conventional,0.5625,1327.38792
2015-07,Sacramento,organic,1.92,10.30506
