,Category,Item,Calories,Sodium,Total Fat,Carbohydrates,Sugars,Protein
0,Breakfast,Egg McMuffin,300,750,13.0,31,3,17
1,Breakfast,Egg White Delight,250,770,8.0,30,3,18
2,Breakfast,Sausage McMuffin,370,780,23.0,29,2,14
3,Breakfast,Sausage McMuffin with Egg,450,860,28.0,30,2,21
4,Breakfast,Sausage McMuffin with Egg Whites,400,880,23.0,30,2,21
5,Breakfast,Steak & Egg McMuffin,430,960,23.0,31,3,26
6,Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,1300,26.0,38,3,19
7,Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,1410,30.0,43,4,19
8,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,1300,20.0,36,3,20
9,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,1420,25.0,42,4,20
10,Breakfast,Sausage Biscuit (Regular Biscuit),430,1080,27.0,34,2,11
11,Breakfast,Sausage Biscuit (Large Biscuit),480,1190,31.0,39,3,11
12,Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,1170,33.0,36,2,18
13,Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,1280,37.0,42,3,18
14,Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,1180,27.0,34,3,18
15,Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,1290,32.0,40,3,18
16,Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),410,1180,20.0,41,3,17
17,Breakfast,Southern Style Chicken Biscuit (Large Biscuit),470,1290,24.0,46,4,17
18,Breakfast,Steak & Egg Biscuit (Regular Biscuit),540,1470,32.0,38,3,25
19,Breakfast,"Bacon, Egg & Cheese McGriddles",460,1250,21.0,48,15,19
20,Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,1250,15.0,47,16,20
21,Breakfast,Sausage McGriddles,420,1030,22.0,44,15,11
22,Breakfast,"Sausage, Egg & Cheese McGriddles",550,1320,31.0,48,15,20
23,Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,1320,26.0,46,15,21
24,Breakfast,"Bacon, Egg & Cheese Bagel",620,1480,31.0,57,7,30
25,Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",570,1480,25.0,55,8,30
26,Breakfast,"Steak, Egg & Cheese Bagel",670,1510,35.0,56,7,33
27,Breakfast,Big Breakfast (Regular Biscuit),740,1560,48.0,51,3,28
28,Breakfast,Big Breakfast (Large Biscuit),800,1680,52.0,56,3,28
29,Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),640,1590,37.0,50,3,26
30,Breakfast,Big Breakfast with Egg Whites (Large Biscuit),690,1700,41.0,55,4,26
31,Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),1090,2150,56.0,111,17,36
