,course,Study Hrs/wk,grades
0,HUM,6.32,3.03
1,HUM,7.46,3.14
2,HUM,5.9,3.02
3,HUM,6.04,3.01
4,HUM,6.37,3.1
5,HUM,6.56,3.04
6,HUM,7.09,3.13
7,HUM,7.55,2.88
8,HUM,6.89,2.97
9,HUM,6.82,2.56
10,HUM,7.72,3.13
11,HUM,6.37,3.09
12,HUM,6.88,3.05
13,HUM,6.27,2.59
14,HUM,6.59,2.96
15,HUM,7.03,3.17
16,HUM,6.84,2.95
17,HUM,6.24,2.62
18,HUM,6.76,3.26
19,HUM,6.5,2.9
20,HUM,7.39,3.04
21,HUM,6.47,2.85
22,HUM,6.93,3.05
23,HUM,7.28,2.77
24,HUM,6.73,3.16
25,HUM,7.23,2.4
26,HUM,7.68,2.77
27,HUM,6.78,2.86
28,HUM,7.52,3.02
29,HUM,7.39,2.72
30,HUM,8.5,2.89
31,HUM,8.47,2.57
32,HUM,7.78,3.03
33,HUM,8.05,2.78
34,HUM,7.69,2.88
35,HUM,7.69,2.92
36,HUM,7.51,2.63
37,HUM,7.6,2.86
38,HUM,7.44,2.6
39,HUM,5.59,2.48
40,HUM,6.75,2.69
41,HUM,6.33,2.89
42,HUM,6.28,2.72
43,HUM,6.49,2.79
44,HUM,6.49,2.87
45,WCWP,5.21,3.21
46,WCWP,4.12,3.23
47,WCWP,4.57,3.23
48,WCWP,7.81,2.95
49,WCWP,5.81,3.08
50,WCWP,5.59,3.12
51,WCWP,7.0,3.03
52,WCWP,7.48,3.07
53,WCWP,7.76,3.16
54,WCWP,9.56,2.69
55,WCWP,8.18,2.95
56,WCWP,8.06,3.04
57,WCWP,14.5,
58,WCWP,8.59,2.94
59,WCWP,7.32,3.2
60,WCWP,7.05,3.19
61,WCWP,15.5,
62,WCWP,9.27,2.96
63,WCWP,7.61,3.19
64,WCWP,7.57,3.27
65,WCWP,6.08,2.9
66,WCWP,7.1,3.09
67,WCWP,6.95,3.1
68,WCWP,7.83,
69,WCWP,3.17,2.83
70,WCWP,7.5,2.83
71,WCWP,12.5,2.83
72,WCWP,8.79,3.02
73,WCWP,8.17,
74,WCWP,7.89,3.12
75,WCWP,10.75,
76,WCWP,10.5,
77,WCWP,5.7,3.02
78,WCWP,9.5,3.02
79,WCWP,5.36,3.02
80,WCWP,6.5,3.02
81,WCWP,10.17,3.02
82,WCWP,8.28,3.02
83,WCWP,6.17,3.02
84,WCWP,6.32,3.02
85,WCWP,8.5,3.02
86,WCWP,5.83,3.02
87,WCWP,7.83,3.02
88,WCWP,7.5,3.02
89,WCWP,9.17,3.02
90,WCWP,9.64,3.02
91,WCWP,6.0,3.02
92,WCWP,6.28,3.02
93,WCWP,8.06,3.02
94,WCWP,9.17,3.02
95,WCWP,8.5,3.02
96,WCWP,6.75,3.02
