College,Major,Level
RE,EN28,SO
FI,MA30,SO
SI,LT36,FR
SI,MA35,SO
FI,EN28,FR
TH,MA30,SO
MU,LN32,JR
FI,SO33,SO
WA,EC37,SO
SI,BI35,SO
RE,BI33,SR
WA,EN28,FR
TH,MA29,SO
WA,UN31,VI
SI,CH25,JR
WA,EN28,FR
SI,UN27,SO
FI,CG35,SO
MU,UN31,VI
FI,MA27,JR
MU,CG35,JR
RE,MA30,SR
SI,UN27,JR
RE,PC29,SR
TH,CG35,SO
RE,UN31,VI
WA,PS28,JR
SI,BI35,SO
FI,MA33,FR
TH,CG35,JR
WA,CG35,JR
RE,MA33,JR
MU,MA35,SO
FI,UNSS,SO
MU,EN28,SR
MU,CG27,SR
SI,UN27,FR
WA,CS26,SR
SI,IS34,FR
WA,UN27,SO
MU,EN25,SR
MU,MA33,JR
FI,UNPS,FR
SI,UN27,FR
SI,CH35,SO
SI,EN28,JR
WA,CG25,SO
WA,PC35,FR
RE,CG35,SR
RE,NA25,SR
FI,EN25,JR
SI,UN27,FR
RE,NA25,JR
MU,EN25,SR
TH,MA31,SR
SI,EN28,JR
SI,UN27,FR
WA,EN25,SR
TH,MA27,SO
FI,MA35,JR
RE,EN26,SO
FI,PS26,SO
TH,PS32,JR
MU,UNSS,SO
MU,PC31,JR
WA,EN25,SR
FI,EN26,FR
TH,UN31,VI
FI,IS34,SR
WA,EN26,JR
RE,CG35,SR
MU,CG25,SO
WA,CG25,SO
RE,BI37,SO
SI,CE25,SR
TH,EN28,JR
WA,MA30,JR
RE,BI37,SR
SI,CG35,JR
MU,BI33,SR
MU,CG32,JR
WA,EN26,FR
TH,EN25,SR
SI,MA27,SR
MU,PC26,SO
TH,EN25,JR
SI,BI35,JR
TH,EN26,FR
WA,IS34,SO
FI,MA30,SO
GR,EN75,VI
RE,UN27,JR
FI,EN26,JR
TH,EN25,SR
FI,UNSS,FR
MU,UN31,VI
SI,LN25,SO
SI,PY29,SR
SI,PS30,SR
WA,UNPS,SO
SI,BI37,JR
MU,UN27,SO
TH,EN25,JR
WA,BE27,SR
MU,MA35,SO
SI,DS25,SO
MU,PC28,SO
WA,HI25,JR
WA,DS25,FR
WA,CH25,JR
MU,MA30,SO
SI,UN27,SO
TH,CM26,JR
SI,UN31,VI
RE,SI29,SR
FI,UN27,SO
WA,EN26,JR
GR,MC81,MA
FI,EC27,FR
FI,CH31,SR
SI,EN25,SR
TH,SO25,JR
TH,EN26,JR
WA,DS25,FR
RE,BI29,SR
WA,CE25,SR
MU,CG35,SO
SI,EN25,SR
WA,US26,SO
MU,UN27,SO
RE,EN26,SO
RE,BI36,SR
FI,CG35,FR
TH,EN26,FR
FI,MA31,SO
SI,UN27,FR
FI,EN26,JR
WA,EN25,FR
MU,EN25,SO
RE,UN27,FR
FI,BI34,SR
TH,MA27,SR
FI,MA27,SO
WA,DS25,FR
WA,MA35,JR
