College,Major,Level
MU,CH25,JR
MU,EN26,SR
SI,EN28,FR
RE,BI35,SR
WA,PY29,SO
RE,PS32,SR
WA,MC25,JR
WA,UN27,SO
TH,EN25,SR
RE,CG35,JR
SI,PS26,JR
TH,CG33,SO
FI,IS34,SO
MU,UN27,SO
WA,MA27,SO
FI,EN28,JR
RE,CG35,SR
SI,CS26,FR
WA,UN27,SO
RE,MA27,JR
TH,CG35,JR
FI,MA27,SO
TH,UN27,SO
MU,EN25,SO
WA,MA27,SR
MU,CG35,JR
WA,CS26,JR
WA,PC33,SO
RE,PC29,JR
GR,BI84,MA
RE,EN26,JR
MU,EN26,FR
FI,MA30,JR
TH,BI35,JR
RE,UN27,SO
SI,MA34,SO
WA,EN28,SO
WA,CG35,FR
TH,UNPS,SO
MU,CG25,JR
FI,MA27,SO
SI,UN27,FR
RE,UN27,SO
RE,BI35,SO
MU,CG35,JR
TH,EN26,SO
FI,MA27,FR
MU,MA29,FR
MU,MA27,SO
RE,MA35,SO
SI,UN27,SO
SI,EN25,FR
TH,CG35,SR
SI,UNPS,SO
RE,CG35,JR
FI,EN26,FR
WA,CG33,SO
FI,UN31,VI
RE,BI31,SR
WA,MA35,SO
RE,MA29,SO
RE,CG35,SO
FI,EN28,FR
TH,PY29,SO
SI,CG35,JR
TH,MC25,JR
RE,EN28,JR
WA,UN27,SO
FI,EN25,SO
FI,ES26,SR
FI,IS34,JR
TH,MA27,SO
SI,EN28,SO
SI,IS34,SO
SI,MA35,SR
TH,MA27,JR
RE,CG35,SR
SI,BE29,SR
WA,EN25,SO
RE,EN25,SO
MU,EN25,JR
RE,UNPS,SO
TH,BI37,SO
RE,EN28,JR
FI,CG35,SO
RE,MA30,JR
WA,UN31,VI
MU,EN28,SO
TH,CG35,SO
SI,EN28,SO
WA,UNPS,FR
FI,EN25,JR
FI,MA35,JR
TH,EN28,SO
FI,UNPS,FR
MU,IS34,JR
FI,UN31,VI
TH,BI37,SR
WA,BI34,JR
TH,EN28,SO
RE,UN27,SO
FI,CG35,SO
TH,SI30,SR
SI,BI38,SO
WA,MA30,SO
FI,CM26,SR
WA,MC25,SR
TH,EN26,JR
MU,MA35,SO
FI,MA29,SO
FI,UN27,SO
MU,UNSS,FR
TH,CG35,SR
RE,MA27,SO
SI,MA29,JR
MU,CG35,SO
FI,FP25,SO
RE,MA27,SO
RE,PY29,FR
WA,MA35,SR
MU,MA35,SO
SI,EN28,JR
RE,PY33,JR
FI,UNPS,SO
SI,CG35,SR
FI,UNPS,JR
FI,MA35,SO
RE,CG33,FR
GR,MS76,D1
MU,MC25,SR
RE,MA35,SO
RE,MA27,JR
MU,EN28,SO
WA,CH31,FR
WA,BI37,SO
MU,FP25,SR
TH,EN28,SO
