visitors,home,left_on_base
TEX,ANA,6
BOS,TBA,5
NYA,TOR,9
MIN,DET,3
CHA,KCA,7
CLE,BAL,12
LAN,ARI,3
PHI,FLO,4
PIT,CIN,7
MON,ATL,9
MIL,SLN,8
CHN,NYN,6
SFN,SDN,8
SEA,OAK,6
BOS,TBA,21
TEX,ANA,9
NYA,TOR,9
LAN,ARI,6
SFN,SDN,4
COL,HOU,7
SEA,OAK,9
BOS,TBA,5
TEX,ANA,5
NYA,TOR,3
MIN,DET,3
CHA,KCA,6
CLE,BAL,4
LAN,ARI,3
PHI,FLO,5
PIT,CIN,7
MON,ATL,7
MIL,SLN,8
CHN,NYN,7
SFN,SDN,12
COL,HOU,13
SEA,OAK,12
BOS,TBA,10
MIN,DET,3
CHA,KCA,13
CLE,BAL,4
PHI,FLO,6
PIT,CIN,4
MON,ATL,11
MIL,SLN,12
CHN,NYN,6
LAN,SDN,9
COL,HOU,7
ANA,OAK,8
NYA,TBA,8
TOR,MIN,6
CLE,KCA,8
SEA,TEX,5
BOS,BAL,11
DET,CHA,6
SFN,MIL,4
ARI,COL,5
CHN,CIN,5
FLO,ATL,9
HOU,SLN,8
PIT,PHI,9
MON,NYN,6
LAN,SDN,9
ANA,OAK,4
NYA,TBA,9
TOR,MIN,11
CLE,KCA,10
SEA,TEX,8
BOS,BAL,6
DET,CHA,8
SFN,MIL,8
ARI,COL,8
CHN,CIN,5
FLO,ATL,10
HOU,SLN,5
PIT,PHI,10
MON,NYN,9
LAN,SDN,7
ANA,OAK,10
NYA,TBA,8
TOR,MIN,8
SEA,TEX,7
BOS,BAL,8
DET,CHA,8
SFN,MIL,11
ARI,COL,7
CHN,CIN,4
FLO,ATL,10
PIT,PHI,8
MON,NYN,5
LAN,SDN,12
SDN,SFN,5
ARI,LAN,8
FLO,ATL,3
BAL,TBA,14
ANA,SEA,6
BOS,TOR,7
CHA,CLE,8
OAK,TEX,9
MIN,NYA,4
SLN,COL,13
NYN,FLO,11
SDN,SFN,8
ARI,LAN,9
ATL,PHI,12
MIL,PIT,4
MON,CHN,7
CIN,HOU,6
BAL,TBA,3
ANA,SEA,11
BOS,TOR,5
CHA,CLE,6
KCA,DET,6
OAK,TEX,7
MIN,NYA,3
SLN,COL,2
NYN,FLO,10
SDN,SFN,8
ARI,LAN,4
ATL,PHI,10
MIL,PIT,5
MON,CHN,2
CIN,HOU,9
BAL,TBA,6
ANA,SEA,7
BOS,TOR,8
CHA,CLE,10
KCA,DET,11
OAK,TEX,8
MIN,NYA,10
SLN,COL,4
NYN,FLO,7
LAN,SFN,7
ATL,PHI,6
MIL,PIT,4
MON,CHN,3
CIN,HOU,11
TEX,SEA,14
OAK,ANA,9
MIN,TOR,6
KCA,CLE,7
CHA,DET,3
MIL,ARI,4
ATL,FLO,4
LAN,SFN,7
PHI,CIN,8
PIT,CHN,4
COL,SDN,8
SLN,HOU,3
NYN,MON,6
TEX,SEA,10
OAK,ANA,3
MIN,TOR,10
KCA,CLE,9
CHA,DET,9
BAL,BOS,6
TBA,NYA,11
MIL,ARI,11
ATL,FLO,6
PHI,CIN,8
PIT,CHN,6
COL,SDN,7
SLN,HOU,7
NYN,MON,6
TEX,SEA,8
OAK,ANA,5
MIN,TOR,4
KCA,CLE,11
CHA,DET,6
BAL,BOS,6
TBA,NYA,9
MIL,ARI,7
ATL,FLO,3
LAN,SFN,14
PHI,CIN,6
PIT,CHN,8
COL,SDN,9
SLN,HOU,5
NYN,MON,9
OAK,SEA,5
KCA,CLE,5
ANA,TEX,6
TOR,NYA,12
COL,ARI,12
SLN,MIL,8
HOU,SFN,8
FLO,PHI,10
CIN,CHN,8
NYN,MON,7
OAK,SEA,7
DET,MIN,8
BAL,CLE,6
TBA,BOS,11
ANA,TEX,5
TOR,NYA,8
KCA,CHA,5
COL,ARI,10
SLN,MIL,8
HOU,SFN,7
SDN,LAN,11
FLO,PHI,6
NYN,PIT,10
CIN,CHN,9
ATL,MON,6
OAK,SEA,2
DET,MIN,8
BAL,CLE,4
TBA,BOS,6
ANA,TEX,8
TOR,NYA,9
KCA,CHA,9
COL,ARI,10
SLN,MIL,8
HOU,SFN,10
SDN,LAN,6
FLO,PHI,10
NYN,PIT,8
CIN,CHN,14
ATL,MON,3
OAK,SEA,11
DET,MIN,8
BAL,CLE,9
TBA,BOS,6
ANA,TEX,7
TOR,NYA,9
KCA,CHA,5
COL,ARI,9
HOU,MIL,11
SDN,LAN,10
FLO,PHI,6
NYN,PIT,7
CIN,CHN,7
ATL,MON,8
TEX,OAK,4
SEA,ANA,10
NYA,MIN,9
TOR,BOS,9
DET,KCA,8
TBA,BAL,5
CLE,CHA,11
HOU,MIL,8
SDN,COL,9
SFN,LAN,6
PHI,ATL,4
ARI,SLN,11
CHN,PIT,6
FLO,NYN,11
TEX,OAK,5
SEA,ANA,9
NYA,MIN,9
TOR,BOS,11
DET,KCA,3
TBA,BAL,9
CLE,CHA,7
HOU,MIL,13
SDN,COL,11
SFN,LAN,6
PHI,ATL,3
ARI,SLN,7
CHN,PIT,5
FLO,NYN,12
CIN,MON,8
CIN,MON,4
TEX,OAK,7
SEA,ANA,9
NYA,MIN,5
TOR,BOS,9
DET,KCA,1
TBA,BAL,2
CLE,CHA,5
HOU,MIL,8
SDN,COL,4
SFN,LAN,7
PHI,ATL,12
ARI,SLN,8
CHN,PIT,5
FLO,NYN,4
CIN,MON,5
NYA,MIN,6
TOR,BOS,9
TBA,BAL,10
CLE,CHA,8
DET,OAK,12
TOR,TBA,11
CLE,SEA,10
NYA,ANA,9
MIN,KCA,7
BOS,TEX,9
CHA,BAL,7
MIL,FLO,5
LAN,CIN,10
SLN,ATL,8
COL,PHI,4
SFN,PIT,6
SDN,CHN,6
HOU,NYN,7
ARI,MON,7
DET,OAK,3
TOR,TBA,4
CLE,SEA,2
NYA,ANA,4
BOS,TEX,6
CHA,BAL,5
MIL,FLO,11
LAN,CIN,6
SLN,ATL,3
COL,PHI,5
SFN,PIT,15
SDN,CHN,6
HOU,NYN,9
ARI,MON,5
DET,OAK,8
TOR,TBA,7
CLE,SEA,7
NYA,ANA,5
MIN,KCA,3
BOS,TEX,10
CHA,BAL,6
MIL,FLO,5
LAN,CIN,5
SLN,ATL,12
COL,PHI,8
SFN,PIT,9
SDN,CHN,6
HOU,NYN,9
ARI,MON,5
CLE,OAK,7
BAL,TBA,9
DET,SEA,5
BOS,ANA,6
KCA,TOR,9
NYA,TEX,6
MIN,CHA,4
CHN,COL,7
SLN,FLO,7
SDN,CIN,3
MIL,ATL,9
SFN,PHI,10
LAN,PIT,3
ARI,NYN,10
HOU,MON,10
CLE,OAK,10
BAL,TBA,9
DET,SEA,12
BOS,ANA,7
KCA,TOR,6
NYA,TEX,4
MIN,CHA,10
CHN,COL,8
SLN,FLO,5
SDN,CIN,18
MIL,ATL,8
SFN,PHI,8
LAN,PIT,6
HOU,MON,3
CLE,OAK,4
BAL,TBA,5
DET,SEA,5
BOS,ANA,8
KCA,TOR,10
NYA,TEX,10
MIN,CHA,1
CHN,COL,5
SLN,FLO,21
SDN,CIN,11
MIL,ATL,10
SFN,PHI,6
LAN,PIT,5
ARI,NYN,3
ARI,NYN,10
HOU,MON,10
FLO,ARI,7
PHI,LAN,8
TEX,TOR,9
TBA,MIN,5
ANA,CLE,5
BAL,DET,8
KCA,BOS,7
SEA,NYA,7
OAK,CHA,6
FLO,ARI,9
MON,MIL,4
CIN,COL,6
CHN,SFN,16
PHI,LAN,9
NYN,SLN,9
PIT,SDN,9
ATL,HOU,6
TEX,TOR,11
TBA,MIN,6
ANA,CLE,5
KCA,BOS,14
SEA,NYA,7
OAK,CHA,1
FLO,ARI,7
MON,MIL,8
CIN,COL,6
CHN,SFN,2
PHI,LAN,4
NYN,SLN,4
PIT,SDN,9
ATL,HOU,5
TEX,TOR,8
TBA,MIN,13
BAL,DET,7
BAL,DET,9
KCA,BOS,9
SEA,NYA,6
OAK,CHA,10
FLO,ARI,8
MON,MIL,4
CIN,COL,6
CHN,SFN,10
PHI,LAN,9
NYN,SLN,6
PIT,SDN,5
ATL,HOU,9
ANA,TOR,3
TEX,CLE,4
TBA,DET,2
MIN,BOS,13
OAK,NYA,12
KCA,BAL,6
SEA,CHA,3
ATL,ARI,12
NYN,MIL,2
CIN,SFN,11
PIT,LAN,6
MON,SLN,6
COL,CHN,8
PHI,SDN,10
FLO,HOU,6
ANA,TOR,7
TEX,CLE,7
TBA,DET,8
MIN,BOS,7
OAK,NYA,5
KCA,BAL,5
SEA,CHA,6
ATL,ARI,10
NYN,MIL,5
CIN,SFN,5
PIT,LAN,8
MON,SLN,4
COL,CHN,10
PHI,SDN,10
FLO,HOU,11
ANA,TOR,10
TEX,CLE,4
TBA,DET,4
MIN,BOS,8
OAK,NYA,7
KCA,BAL,7
SEA,CHA,2
ATL,ARI,10
NYN,MIL,4
CIN,SFN,9
PIT,LAN,4
MON,SLN,6
COL,CHN,9
PHI,SDN,5
FLO,HOU,6
BOS,KCA,10
DET,BAL,6
PHI,ARI,8
SLN,CIN,3
MIL,CHN,4
PIT,HOU,7
CHA,OAK,4
MIN,TBA,7
NYA,SEA,10
CLE,ANA,2
BOS,KCA,8
TOR,TEX,4
DET,BAL,5
PHI,ARI,11
SFN,FLO,3
SLN,CIN,5
COL,ATL,6
MIL,CHN,8
LAN,NYN,10
PIT,HOU,6
SDN,MON,6
CHA,OAK,7
MIN,TBA,7
NYA,SEA,3
CLE,ANA,8
BOS,KCA,2
TOR,TEX,6
DET,BAL,7
PHI,ARI,3
SFN,FLO,10
SLN,CIN,4
MIL,CHN,7
LAN,NYN,3
PIT,HOU,5
SDN,MON,9
CHA,OAK,6
MIN,TBA,5
NYA,SEA,7
CLE,ANA,7
TOR,TEX,7
SFN,FLO,5
SLN,CIN,7
COL,ATL,5
COL,ATL,5
LAN,NYN,6
PIT,HOU,6
SDN,MON,10
NYA,OAK,4
DET,TBA,8
CHA,SEA,10
TOR,ANA,6
BOS,MIN,7
BAL,KCA,8
BAL,KCA,8
CLE,TEX,9
COL,FLO,4
MIL,CIN,4
SFN,ATL,6
HOU,PHI,7
ARI,PIT,3
SLN,CHN,7
SDN,NYN,6
LAN,MON,8
NYA,OAK,9
DET,TBA,6
CHA,SEA,4
TOR,ANA,6
BOS,MIN,8
BAL,KCA,6
CLE,TEX,8
COL,FLO,8
MIL,CIN,13
SFN,ATL,3
HOU,PHI,7
ARI,PIT,3
SLN,CHN,7
SDN,NYN,8
LAN,MON,6
NYA,OAK,5
DET,TBA,5
CHA,SEA,12
TOR,ANA,4
BOS,MIN,6
BAL,KCA,8
CLE,TEX,5
COL,FLO,9
MIL,CIN,6
SFN,ATL,6
HOU,PHI,5
ARI,PIT,10
SDN,NYN,10
LAN,MON,4
KCA,MIN,7
CHN,MIL,12
NYN,COL,9
MON,SFN,11
ATL,LAN,5
HOU,PIT,14
FLO,SDN,12
TBA,TOR,7
KCA,MIN,3
SEA,CLE,7
OAK,DET,3
TEX,BOS,4
ANA,NYA,4
BAL,CHA,8
CHN,MIL,5
NYN,COL,8
MON,SFN,4
ATL,LAN,6
CIN,SLN,8
ARI,PHI,9
HOU,PIT,8
FLO,SDN,3
TBA,TOR,8
KCA,MIN,9
SEA,CLE,8
OAK,DET,7
TEX,BOS,8
ANA,NYA,6
BAL,CHA,7
CHN,MIL,3
NYN,COL,8
MON,SFN,5
ATL,LAN,5
CIN,SLN,4
ARI,PHI,2
HOU,PIT,6
FLO,SDN,7
TBA,TOR,8
KCA,MIN,13
SEA,CLE,10
OAK,DET,5
TEX,BOS,6
ANA,NYA,7
BAL,CHA,9
CHN,MIL,10
MON,COL,9
NYN,SFN,10
CIN,SLN,3
ARI,PHI,9
HOU,PIT,8
ATL,SDN,10
CHA,MIN,6
OAK,CLE,3
SEA,DET,8
ANA,BOS,5
TOR,KCA,9
TEX,NYA,14
TBA,BAL,10
PIT,ARI,6
CIN,MIL,10
MON,COL,10
NYN,SFN,13
FLO,LAN,6
CHN,SLN,5
ATL,SDN,6
PHI,HOU,8
CHA,MIN,5
OAK,CLE,4
SEA,DET,6
ANA,BOS,9
TOR,KCA,5
TEX,NYA,3
TBA,BAL,5
PIT,ARI,8
CIN,MIL,9
MON,COL,8
NYN,SFN,4
FLO,LAN,8
CHN,SLN,8
ATL,SDN,5
PHI,HOU,8
CHA,MIN,9
OAK,CLE,7
SEA,DET,4
ANA,BOS,6
TOR,KCA,8
TEX,NYA,7
TBA,BAL,6
PIT,ARI,9
CIN,MIL,9
MON,COL,10
NYN,SFN,5
FLO,LAN,6
CHN,SLN,5
ATL,SDN,6
PHI,HOU,5
DET,CLE,6
NYA,BOS,10
TOR,CHA,5
SFN,ARI,14
SDN,MIL,7
CHN,SLN,7
MIN,OAK,13
KCA,SEA,6
BAL,ANA,5
DET,CLE,5
NYA,BOS,8
