COUNTY,PARKING,FEE,LATITUDE,LONGITUDE,NAME,LOCATION,DESCRIPTION
Del Norte,Yes,No,41.992854,-124.208809,Pelican State Beach,"W. of Hwy. 101, .5 mi. S. of Oregon border","Wide beach with driftwood, day use only"
Del Norte,Yes,No,41.973501,-124.203663,Clifford Kamph Memorial Park,"Hwy. 101 , 2 mi. S. of the Oregon border",Camp host on-site
Del Norte,Yes,No,41.947699,-124.205046,Smith River County Park,"End, Mouth of Smith River Rd., Smith River","Cobble beach at river mouth, birding"
Del Norte,Yes,Yes,41.890326,-124.14781,Smith River Boating Access,"Fred Haight Dr., 3 mi. S. of Town of Smith River",Paved boat ramp
Del Norte,Yes,No,41.869112,-124.211624,Kellogg Beach Park,W. end of Kellogg Rd.,"Wide beach, driftwood"
Del Norte,Yes,Yes,41.79789,-124.216021,Lake Earl Wildlife Area,W. of Lower Lake Rd. and Lake Earl Dr.,"5,500-acre wildlife area, trails, boat launch"
Del Norte,Yes,No,41.813705,-124.180635,Lakeview Drive Boat Launch,End of Lakeview Dr. off Lake Earl Dr.,"Shallow draft boat launch, Lake Earl Wildlife Area"
Del Norte,Yes,Yes,41.881739,-124.20068899999998,Tolowa Dunes State Park,N. and S. of Kellogg Rd. along Pacific Ocean,"Walk-in campsites; pay camping fee at Redwood Nat'l Park Visitor Center, Crescent City"
Del Norte,Yes,No,41.782673,-124.25256,Point St. George,End of Radio Rd. aka N. Pebble Beach Dr.,"Rocky shore, respect sensitive resources"
Del Norte,Yes,Yes,41.852301,-124.120828,Ruby Van Deventer County Park,"North Bank Rd. (Hwy. 197), 2.5 mi. E. of Hwy. 101","Site overlooks the Smith River, running water available"
Del Norte,Yes,Yes,41.805281,-124.150899,Florence Keller County Park,"Cunningham Ln. off Elk Valley Cross Rd., W. of Hwy. 101, 3 mi. N. of Crescent City","Trails, running water available"
Del Norte,Yes,Yes,41.795574,-124.085074,Jedediah Smith Redwoods State Park,"Hwy. 199, 5 mi. E. of Hwy. 101","10,000 acres, 6 miles of Smith River frontage, forests, trails"
Del Norte,Yes,Yes,41.846261,-123.969349,Smith River National Recreation Area,"Hwy. 199, 14 mi. E of Hwy. 101","300,000 acres, forests, mountains, rivers, trails"
