intStCode,strStName,intClassCode,strClassName,strFormCode,strFormName,strMacroCode,strMacroName,intEcoSysCode,strEcoSysName,intAcres,intSqMiles
12,Florida,1,Forest & Woodland,1.A.1,Tropical Dry Forest & Woodland,M134,Caribbean Coastal Lowland Dry Forest,4132,South Florida Hardwood Hammock,1851.88186032564,2.8935654067796297
12,Florida,1,Forest & Woodland,1.A.1,Tropical Dry Forest & Woodland,M134,Caribbean Coastal Lowland Dry Forest,4135,Southeast Florida Coastal Strand and Maritime Hammock,5386.18071036708,8.41590736000911
12,Florida,1,Forest & Woodland,1.A.1,Tropical Dry Forest & Woodland,M134,Caribbean Coastal Lowland Dry Forest,4134,Southwest Florida Coastal Strand and Maritime Hammock,401.86748187924,0.62791794044083
12,Florida,1,Forest & Woodland,1.A.4,Tropical Flooded & Swamp Forest,M617,Caribbean Swamp,9238,South Florida Bayhead Swamp,84991.74769223112,132.7996057700665
12,Florida,1,Forest & Woodland,1.A.4,Tropical Flooded & Swamp Forest,M617,Caribbean Swamp,9702,South Florida Cypress Dome,217214.3778397039,339.3974653769792
12,Florida,1,Forest & Woodland,1.A.4,Tropical Flooded & Swamp Forest,M617,Caribbean Swamp,9305,South Florida Dwarf Cypress Savanna,161659.25639899465,252.59258812524638
12,Florida,1,Forest & Woodland,1.A.5,Mangrove,M005,Western Atlantic & Caribbean Mangrove,9236,South Florida Mangrove Swamp,639538.1821972042,999.2784096903207
48,Texas,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,0.44478968664,0.00069498388538
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,324.02928671724,0.50629576049933
22,Louisiana,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,1211.82950125068,1.89348359571781
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,435518.71280651924,680.497988765082
1,Alabama,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,5295.88840397916,8.27482563127697
37,North Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,57935.635843606564,90.5244310062865
45,South Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4553,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood,135722.90258648628,212.06703529291048
37,North Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,103090.24004161273,161.07850006617875
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,88239.6019840764,137.8743781011113
45,South Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,192616.173799452,300.962771563809
22,Louisiana,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,61.38097675632,0.09590777618244
1,Alabama,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,82.2860920284,0.1285720187953
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,19.57074621216,0.03057929095672
45,South Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,171581.84712340307,268.0966361322461
37,North Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,59200.84010725404,92.50131266824994
1,Alabama,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,653.3960496741598,1.02093132762322
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,51295.59300660132,80.14936407339118
22,Louisiana,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,293.33879833908,0.45834187240811
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,300.67782816863996,0.46980910651688
45,South Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,9907,Atlantic Coastal Plain Southern Wet Pine Savanna and Flatwoods,345809.3033029409,540.3270364147326
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,9907,Atlantic Coastal Plain Southern Wet Pine Savanna and Flatwoods,49505.092123032,77.351706442794
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,9907,Atlantic Coastal Plain Southern Wet Pine Savanna and Flatwoods,6647.3818668347985,10.3865341670041
45,South Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4536,Atlantic Coastal Plain Upland Longleaf Pine Woodland,891948.5455458878,1393.6696024254763
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4536,Atlantic Coastal Plain Upland Longleaf Pine Woodland,213519.7323076288,333.62458173307016
37,North Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4536,Atlantic Coastal Plain Upland Longleaf Pine Woodland,1063855.9787199115,1662.2749667618207
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4536,Atlantic Coastal Plain Upland Longleaf Pine Woodland,742642.6555087894,1160.3791492408318
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,5602,Atlantic Coastal Plain Xeric River Dune,39431.27290516596,61.61136391476507
37,North Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,9906,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,451739.52549375,705.8430085890625
45,South Carolina,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,9906,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,238200.4448347524,372.1881950569783
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,9909,Central Florida Pine Flatwoods,46768.301181136085,73.07547059605086
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4508,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier,627441.4594844994,980.3772804515836
1,Alabama,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4508,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier,216119.30563119624,337.68641505117364
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4508,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier,617215.0774041158,964.3985584508692
28,Mississippi,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4508,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier,51249.33487919076,80.07708574931169
1,Alabama,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4509,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier,290957.1719619661,454.62058119384284
13,Georgia,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4509,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier,45476.854325976834,71.05758488485003
12,Florida,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4509,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier,176573.05459203388,275.89539780203773
22,Louisiana,1,Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,4509,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier,78570.31898620943,122.76612341683548
