year,month,level
1924,11,-0.225
1924,12,-0.195
1925,1,-0.198
1925,2,-0.207
1925,3,-0.15
1925,4,-0.198
1925,5,-0.142
1925,6,-0.126
1925,7,-0.133
1925,8,-0.145
1925,9,-0.158
1925,10,-0.121
1925,11,-0.149
1925,12,-0.049
1926,1,-0.025
1926,2,-0.091
1926,3,-0.07400000000000001
1926,4,-0.095
1926,5,-0.11800000000000001
1926,6,-0.111
1926,7,-0.133
1926,8,-0.139
1926,9,-0.18899999999999997
1926,10,-0.17600000000000002
1926,11,-0.17300000000000001
1926,12,-0.14
1927,1,-0.171
1927,2,-0.16699999999999998
1927,3,-0.172
1927,4,-0.159
1927,5,-0.188
1927,6,-0.138
1927,7,-0.161
1927,8,-0.16
1927,9,-0.149
1927,10,-0.11800000000000001
1927,11,-0.106
1927,12,-0.09699999999999999
1928,1,-0.11599999999999999
1928,2,-0.085
1928,3,-0.153
1928,4,-0.153
1928,5,-0.139
1928,6,-0.129
1928,7,-0.14300000000000002
1928,8,-0.11800000000000001
1928,9,-0.16699999999999998
1928,10,-0.145
1928,11,-0.11199999999999999
1928,12,-0.08800000000000001
1929,1,-0.07
1929,2,-0.115
1929,3,-0.111
1929,4,-0.073
1929,5,-0.09
1929,6,-0.132
1929,7,-0.109
1929,8,-0.142
1929,9,-0.128
1929,10,-0.142
1929,11,-0.14300000000000002
1929,12,-0.16399999999999998
1930,1,-0.125
1930,2,-0.11199999999999999
1930,3,-0.102
1930,4,-0.125
1930,5,-0.163
1930,6,-0.114
1930,7,-0.121
1930,8,-0.096
1930,9,-0.14300000000000002
1930,10,-0.094
1930,11,-0.076
1930,12,-0.08199999999999999
1931,1,-0.098
1931,2,-0.033
1931,3,-0.08900000000000001
1931,4,-0.07
1931,5,-0.124
1931,6,-0.129
1931,7,-0.079
1931,8,-0.11800000000000001
1931,9,-0.122
1931,10,-0.142
1931,11,-0.13699999999999998
1931,12,-0.183
1932,1,-0.165
1932,2,-0.08800000000000001
1932,3,-0.12300000000000001
1932,4,-0.095
1932,5,-0.096
1932,6,-0.157
1932,7,-0.14
1932,8,-0.121
1932,9,-0.134
1932,10,-0.136
1932,11,-0.146
1932,12,-0.16699999999999998
1933,1,-0.131
1933,2,-0.195
1933,3,-0.135
1933,4,-0.14300000000000002
1933,5,-0.209
1933,6,-0.172
1933,7,-0.16699999999999998
1933,8,-0.188
1933,9,-0.18600000000000003
1933,10,-0.212
1933,11,-0.18899999999999997
1933,12,-0.213
1934,1,-0.18
1934,2,-0.192
1934,3,-0.11699999999999999
1934,4,-0.10400000000000001
1934,5,-0.121
1934,6,-0.147
1934,7,-0.13699999999999998
1934,8,-0.17300000000000001
1934,9,-0.128
1934,10,-0.222
1934,11,-0.16699999999999998
1934,12,-0.125
1935,1,-0.171
1935,2,-0.121
1935,3,-0.163
1935,4,-0.13699999999999998
1935,5,-0.163
1935,6,-0.111
1935,7,-0.146
1935,8,-0.133
1935,9,-0.18899999999999997
1935,10,-0.161
1935,11,-0.192
1935,12,-0.146
1936,1,-0.18899999999999997
1936,2,-0.14300000000000002
1936,3,-0.105
1936,4,-0.168
1936,5,-0.13
1936,6,-0.154
1936,7,-0.127
1936,8,-0.124
1936,9,-0.115
1936,10,-0.13
1936,11,-0.09699999999999999
1936,12,-0.131
1937,1,-0.162
1937,2,-0.11199999999999999
1937,3,-0.14400000000000002
1937,4,-0.14300000000000002
1937,5,-0.102
1937,6,-0.129
1937,7,-0.094
1937,8,-0.109
1937,9,-0.11900000000000001
1937,10,-0.127
1937,11,-0.152
1937,12,-0.106
1938,1,-0.11
1938,2,-0.125
1938,3,-0.16
1938,4,-0.14
1938,5,-0.145
1938,6,-0.141
1938,7,-0.152
1938,8,-0.127
1938,9,-0.13699999999999998
1938,10,-0.161
1938,11,-0.152
1938,12,-0.11599999999999999
1939,1,-0.13699999999999998
1939,2,-0.192
1939,3,-0.16899999999999998
1939,4,-0.113
1939,5,-0.121
1939,6,-0.114
1939,7,-0.13
1939,8,-0.109
1939,9,-0.055
1939,10,-0.063
1939,11,-0.009000000000000001
1939,12,-0.073
1940,1,-0.11
1940,2,-0.094
1940,3,-0.059000000000000004
1940,4,-0.079
1940,5,-0.115
1940,6,-0.147
1940,7,-0.152
1940,8,-0.124
1940,9,-0.11900000000000001
1940,10,-0.109
1940,11,-0.079
1940,12,-0.0
1941,1,-0.079
1941,2,0.0
1941,3,0.017
1941,4,-0.08199999999999999
1941,5,-0.09300000000000001
1941,6,-0.132
1941,7,-0.11199999999999999
1941,8,-0.11199999999999999
1941,9,-0.067
1941,10,-0.017
1941,11,-0.03
1941,12,-0.033
1942,1,-0.08900000000000001
1942,2,-0.067
1942,3,-0.086
1942,4,-0.079
1942,5,-0.136
1942,6,-0.10800000000000001
1942,7,-0.124
1942,8,-0.121
1942,9,-0.122
1942,10,-0.106
1942,11,-0.128
1942,12,-0.16399999999999998
1943,1,-0.10099999999999999
1943,2,-0.14
1943,3,-0.156
1943,4,-0.146
1943,5,-0.105
1943,6,-0.102
1943,7,-0.133
1943,8,-0.127
1943,9,-0.131
1943,10,-0.127
1943,11,-0.091
1943,12,-0.042
1944,1,-0.134
1944,2,-0.076
1944,3,-0.035
1944,4,-0.08900000000000001
1944,5,-0.121
1944,6,-0.19
1944,7,-0.155
1944,8,-0.11800000000000001
1944,9,-0.106
1944,10,-0.145
1944,11,-0.11800000000000001
1944,12,-0.122
1945,1,-0.107
1945,2,-0.146
1945,3,-0.15
1945,4,-0.171
1945,5,-0.145
1945,6,-0.077
1945,7,-0.07200000000000001
1945,8,-0.075
1945,9,-0.08199999999999999
1945,10,-0.094
1945,11,-0.14
1945,12,-0.106
1946,1,-0.134
1946,2,-0.11199999999999999
1946,3,-0.10800000000000001
1946,4,-0.086
1946,5,-0.115
1946,6,-0.105
1946,7,-0.115
1946,8,-0.139
1946,9,-0.079
1946,10,-0.094
1946,11,-0.08199999999999999
1946,12,-0.079
1947,1,-0.08199999999999999
1947,2,-0.094
1947,3,-0.059000000000000004
1947,4,-0.11599999999999999
1947,5,-0.087
1947,6,-0.126
1947,7,-0.133
1947,8,-0.142
1947,9,-0.131
1947,10,-0.133
1947,11,-0.121
1947,12,-0.10300000000000001
1948,1,-0.067
1948,2,-0.09699999999999999
1948,3,-0.10800000000000001
1948,4,-0.10400000000000001
1948,5,-0.10800000000000001
1948,6,-0.111
1948,7,-0.124
1948,8,-0.121
1948,9,-0.109
1948,10,-0.127
1948,11,-0.11800000000000001
1948,12,-0.11
1949,1,-0.098
1949,2,-0.08199999999999999
1949,3,-0.16
1949,4,-0.11900000000000001
1949,5,-0.105
1949,6,-0.08
1949,7,-0.133
1949,8,-0.11800000000000001
1949,9,-0.109
1949,10,-0.139
1949,11,-0.134
1949,12,-0.177
1950,1,-0.183
1950,2,-0.16399999999999998
1950,3,-0.17800000000000002
1950,4,-0.10099999999999999
1950,5,-0.105
1950,6,-0.10800000000000001
1950,7,-0.066
1950,8,-0.14800000000000002
1950,9,-0.125
1950,10,-0.11199999999999999
1950,11,-0.13699999999999998
1950,12,-0.11599999999999999
1951,1,-0.195
1951,2,-0.146
1951,3,-0.08900000000000001
1951,4,-0.10400000000000001
1951,5,-0.078
1951,6,-0.059000000000000004
1951,7,-0.051
1951,8,-0.06
1951,9,-0.051
1951,10,-0.042
1951,11,-0.042
1951,12,-0.08199999999999999
1952,1,-0.08199999999999999
1952,2,-0.091
1952,3,-0.086
1952,4,-0.061
1952,5,-0.121
1952,6,-0.11699999999999999
1952,7,-0.127
