call_type,description
10,"OUT OF SERV, SUBJTOCALL"
10-97,ARRIVE ON SCENE
1016,PRISONER IN CUSTODY
1016PT,PTU (PRISONER TRANSPORT)
1016QC,SHOPLIFTER/QUICK CITE
1016T,BORDERPRISONERTRANSPORT
1019,RETURN TO STATION
1021,PHONE YOUR STATION
1021H,PHONE YOUR HOME
1042,"SECURE, END OF SHIFT"
10851,AUTO THEFT
10851E,EVAL-POSS UNREPORTED CAR THEFT
10851R,CAR THEFT REPORT
10851RR,CAR THEFT RECOVERY REPORT
10852,TAMPERING W/VEH IN PROGRESS
10852A,VEHICLE ALARM/AUDIBLE
10852C,VEHICLE CASER
10852R,TAMPERING W/VEH REPORT
1087,MEET OFFICER 10-10
11-6,DISCHARGING FIREARMS
11-7,PROWLER
11-8,PERSON DOWN
1110M,REPORT OF CRIME OCCD MEXICO
1111,CHECK THE AREA
1115,BALL GAME IN STREET(83 03MC)
1130,INCOMPLETE PHONE CALL
1131,CALLING FOR HELP
1131A,CALLING FOR HELP-PANIC ALARM
1140OD,"AMBULANCE CALL, OVERDOSE"
1141,AMBULANCE NEEDED
1144,CORONER'S CASE
1146,REPORT OF DEATH
1147,INJURED PERSON
1148,FURNISH TRANSPORTATION
1149,TRAFFIC STOP/NO LICENSE CK
1150,TRAFFIC STOP/WITHLICENSE
1151,PED STOP/FIELD INTERVIEW
1153,SECURITY CHECK
1153HS,SECRTY CK OF TERRORIST TARGET
1155,HAZARDOUS/CHEMICAL SPILL
1160,INVESTIGATE WATER LEAK
1166,SIGNALS OUT OF ORDER
1171,FIRE
1180,SERIOUS INJURY ACCIDENT
1180CR,SERIOUS INJ ACCIDENT-COST REC
1181,MINOR INJURY ACCIDENT
1181CR,MINOR INJURY ACC-COST REC
1181R,"MINOR TRAFFICI NJURY, REPORT"
1182,NON-INJURY ACCIDENT
1182CR,NON-INJURY ACCIDENT-COST REC
1183,NO DETAIL ACCIDENT
1184,TRAFFIC CONTROL
1184CR,TRAFFIC CONTROL-COST REC
1185,REQUEST FOR TOW TRUCK
1186,SPECIAL DETAIL
1188,ASSIST DISABLED MOTORIST
136,INTIMIDATION OF WITNESS
146,IMPERSONATING AN OFFICER
146R,"IMPERSONATING AN OFFICER,RPT"
19,RETURN TO STATION
20001,FELONY HIT&RUN
20001CR,FELONY HIT&RUN-COST REC
20002,MISD HIT/RUN
20002CR,MISD HIT/RUN-COST REC
20002R,HIT AND RUN REPORT
207,KIDNAPPING IN PROGRESS
207R,KIDNAPPING REPORT
211,ROBBERY
211-SUSP,211 SUSPECT THERE NOW
211A,ROBBERY ALARM
211C,ROBBERY CASER
211ECHO,ROBBERY-PRONET
211R,ROBBERY REPORT
211SPEC,ROBBERY-GPSD EVICE
215,CAR JACKING
215R,CARJACKING REPORT
23103,RECKLESS DRIVING
23110,THROWING OBJECTS AT OCC VEH
23110R,THROWING OBJECTS AT AN OCC VEH
23152,DWI
23152CR,DWI WITH COST RECOVERY
242,BATTERY
242R,BATTERY REPORT
245,ADW
245-SUSP,245 SUSPECT THERE NOW
245CR,ADW-COST RECOVERY
245R,ADW REPORT
246,FIRING AT OCCP'D HSE/VEH
246R,FIRING AT OCCP'D HSE/VEH 1110
247,FIRING AT UNOCCUPIED VEH/HSE
247R,FIRING AT UNOCCPD VEH/HSE 1110
272,CONTRIBUTING DELINQ MINOR
278,CHILD STEALING
278R,CHILD STEALING REPORT
314,INDECENT EXPOSURE
314R,INDECENT EXPOSURE REPORT
330,GAMBLING
374,LITTERING
402B,ABANDONED REFRIGERATOR
415,DISTURBING PEACE
415CAPP,DIST PEACE-CAPP HOUSE
415CN,CONSTRUCTION NOISE COMPLAINT
415N,DISTURBING PEACE NOISE ONLY
415NCR,DISTURB PEACE/NOISE-COST REC
415PP,PRESERVE THE PEACE
415SHCR,SOCIAL HOST CR (RADIO USE ONLY
415TOW,DISTURBING PEACE RE:TOWING
415V,DISTURBING PEACE W/VIOLENCE
415W,DIST PEACE UNCONCEALED WEAPON
417,THREATENING W/WEAPON
417R,THREATENING W/WEAPON REPORT
422,CRIMINAL THREATS
422R,CRIMINAL THREATS
451,ARSON IN PROGRESS
451R,ARSON REPORT
459,BURGLARY IN PROGRESS
459-SUSP,459 SUSPECT THERE NOW
459A,BURGLARY ALARM
459C,BURGLARY CASER
459HP,BURGLARY HOT PROWL
459R,BURGLARY REPORT
470,FORGERY IN PROGRESS
470R,FORGERY REPORT
470RX,FORGERY OF RX-SUSP THERE NOW
487,GRAND THEFT /$950+
487R,GRAND THEFT/REPORT $950+
488,PETTY THEFT /UNDER $950
488R,PETTY THEFT/UNDER $950
496,RECEIVE/SELL STOLEN PROP
496R,REC/SELL STOLEN PROP REPORT
498,THEFT OF UTILITIES IN PROGRESS
498R,THEFT OF UTILITIES REPORT
502,COMPUTER CRIMES
508R,"EMBEZZLEMENT, REPORT"
5150,MENTAL CASE
5150V,MENTAL CASE-VIOLENT OR URGENT
518R,"EXTORTION, REPORT"
530,FALSE USE OF ANOTHERS IDENTITY
532,FRAUD SOLICITATION/CHARITIES
537,"DEFRAUDING INNKEEPER, INPROGR"
537R,DEFRAUDING INNKEEPER REPORT
586,ILLEGAL PARKING
586H,ILLEGAL PARKING-HANDICAPPED
586O,ILLEGAL OVO PARKING
594,"VANDALISM, INPROGRESS"
594GR,GRAFFIT IVANDALISM REPORT
594R,"VANDALISM, REPORT"
594VARDA,"VANDALISM,ALARM"
595,RUNAWAY VEHICLE
597,CRUELTY TO ANIMALS
597R,"CRUELTY TO ANIMALS, REPORT"
602,TRESPASSING
647B,PROSTITUTION
647F,DRUNK - DRUGS/ALCOHOL
653M,"THREATENING PHONE CALL, REPORT"
7,OUT OF SERVICE
